_id,objectid,has_wifi,location_name,public_name,address,postal_code,building_type,gis_id,asset_id,owner,neighbourhood,is_nia,is_emerging,ward,ward_number,telephone,website,globalid,geometry
54,90,Y,OAKRIDGE COMMUNITY RECREATION CENTRE,Oakridge Community Recreation Centre,63 PHARMACY AVE,M1L 3E7,Community Recreation Centre,4188,1439,TDSB,Oakridge (121),Y,N,Scarborough Southwest ,20,416-338-1966,https://www.toronto.ca/data/parks/prd/facilities/complex/731/index.html,ab0de426-d2e9-4971-89df-fca539d4859a,"{'type': 'MultiPoint', 'coordinates': [[-79.2839400998526, 43.6944411298229]]}"
55,92,Y,OURLAND COMMUNITY CENTRE,Ourland Community Centre,18 OURLAND AVE,M8Z 4C9,Community Recreation Centre,4484,13058,City of Toronto,Mimico-Queensway (160),N,N,Etobicoke-Lakeshore,3,416-394-8673,https://www.toronto.ca/data/parks/prd/facilities/complex/793/index.html,383bd46b-5cd3-454a-ad38-882b149b22f0,"{'type': 'MultiPoint', 'coordinates': [[-79.5082581399555, 43.6150968902814]]}"
56,93,Y,PAM McCONNELL AQUATIC CENTRE,Pam McConnell Aquatic Centre,640 DUNDAS ST E,M5A 2B8,Community Recreation Centre,23041,14322,City of Toronto,Regent Park (72),Y,N,Toronto Centre ,13,416-338-2237,https://www.toronto.ca/data/parks/prd/facilities/complex/2012/index.html,e99d473f-6aa4-41c9-845d-64eb678cde87,"{'type': 'MultiPoint', 'coordinates': [[-79.3609607396247, 43.6607636399595]]}"
57,95,Y,PARKWAY FOREST COMMUNITY CENTRE,Parkway Forest Community Centre,55 FOREST MANOR RD,M2J 0C2,Community Recreation Centre,50081,45042,City of Toronto,Henry Farm (53),N,N,Don Valley North ,17,416-392-6383,https://www.toronto.ca/data/parks/prd/facilities/complex/2791/index.html,1ecb64c4-22c9-4cee-8db1-a6bd968af90a,"{'type': 'MultiPoint', 'coordinates': [[-79.3438943697872, 43.7725373199693]]}"
58,97,Y,REGENT PARK COMMUNITY CENTRE,Regent Park Community Centre,402 SHUTER ST,M5A 1X6,Community Recreation Centre,50366,45463,City of Toronto,Regent Park (72),Y,N,Toronto Centre ,13,416-392-5490,https://www.toronto.ca/data/parks/prd/facilities/complex/3502/index.html,a9313bfb-552a-4847-9dea-97240c20c3a3,"{'type': 'MultiPoint', 'coordinates': [[-79.3617404395621, 43.6579936203162]]}"
59,99,Y,SECORD COMMUNITY CENTRE,Secord Community Centre,91 BARRINGTON AVE,M4C 4Y9,Community Recreation Centre,4229,13063,City of Toronto,Taylor-Massey (61),Y,N,Beaches-East York ,19,416-396-2857,https://www.toronto.ca/data/parks/prd/facilities/complex/325/index.html,fd4c63c1-1225-41b2-b71c-833299877494,"{'type': 'MultiPoint', 'coordinates': [[-79.3015680703546, 43.6917721002016]]}"
60,102,Y,STAN WADLOW CLUBHOUSE,Stan Wadlow Clubhouse,373 CEDARVALE AVE,M4C 4K7,Community Recreation Centre,4232,2104,City of Toronto,Woodbine-Lumsden (60),N,N,Beaches-East York ,19,416-396-2842,https://www.toronto.ca/data/parks/prd/facilities/complex/297/index.html,fe85a786-9ff6-47d8-8430-5a758fb76a17,"{'type': 'MultiPoint', 'coordinates': [[-79.3150895901646, 43.6981800399858]]}"
61,103,Y,STEPHEN LEACOCK COMMUNITY RECREATION CENTRE,Stephen Leacock Community Recreation Centre,2500 BIRCHMOUNT RD,M1T 2M5,Community Recreation Centre,4378,2105,City of Toronto,Tam O'Shanter-Sullivan (118),N,N,Scarborough-Agincourt ,22,416-396-4184,https://www.toronto.ca/data/parks/prd/facilities/complex/1105/index.html,5b051ce6-77ef-4042-a446-39a5ab6471fa,"{'type': 'MultiPoint', 'coordinates': [[-79.3023537198341, 43.7865283500433]]}"
62,104,Y,STEPHEN LEACOCK SENIORS' COMMUNITY CENTRE,Stephen Leacock Seniors' Community Centre,2520 BIRCHMOUNT RD,M1T 2M5,Community Recreation Centre,4166,14344,City of Toronto,Tam O'Shanter-Sullivan (118),N,N,Scarborough-Agincourt ,22,416-396-4040,https://www.toronto.ca/data/parks/prd/facilities/complex/1873/index.html,aa5cc334-92c6-43a3-b678-93f9ebea270f,"{'type': 'MultiPoint', 'coordinates': [[-79.302473110427, 43.7868718198023]]}"
63,106,Y,THISTLETOWN COMMUNITY CENTRE,Thistletown Community Centre,925 ALBION RD,M9V 1A6,Community Recreation Centre,4458,2106,City of Toronto,Thistletown-Beaumond Heights (3),Y,N,Etobicoke North,1,416-394-8717,https://www.toronto.ca/data/parks/prd/facilities/complex/354/index.html,d431c3d3-f564-4173-b097-5a21e3e71df0,"{'type': 'MultiPoint', 'coordinates': [[-79.5625803395713, 43.7354704800398]]}"
64,107,Y,THISTLETOWN SENIORS' CENTRE,Thistletown Seniors' Centre,925 ALBION RD,M9V 1A6,Community Recreation Centre,4459,13072,City of Toronto,Thistletown-Beaumond Heights (3),Y,N,Etobicoke North,1,416-394-8869,https://www.toronto.ca/data/parks/prd/facilities/complex/397/index.html,5e5e7577-4d1b-49d7-a06d-c11c2593e9a1,"{'type': 'MultiPoint', 'coordinates': [[-79.5625803395713, 43.7354704800398]]}"
65,108,Y,TRACE MANES PARK COMMUNITY CENTRE,Trace Manes Park Community Centre,110 RUMSEY RD,M4G 1P2,Community Recreation Centre,4340,13073,City of Toronto,Leaside-Bennington (56),N,N,Don Valley West ,15,416-396-2853,https://www.toronto.ca/data/parks/prd/facilities/complex/705/index.html,8d4666d0-8651-437f-b21c-7c897028d4ec,"{'type': 'MultiPoint', 'coordinates': [[-79.3671729401574, 43.7057256696995]]}"
66,109,Y,TRINITY COMMUNITY RECREATION CENTRE,Trinity Community Recreation Centre,155 CRAWFORD ST,M6J 2V5,Community Recreation Centre,4174,2006,City of Toronto,Trinity-Bellwoods (81),N,N,Spadina-Fort York ,10,416-392-0743,https://www.toronto.ca/data/parks/prd/facilities/complex/287/index.html,2ac3d799-dad4-4bed-b9ce-83dfb31a31ff,"{'type': 'MultiPoint', 'coordinates': [[-79.4153739098327, 43.646435279749]]}"
67,110,Y,WARDEN HILLTOP COMMUNITY CENTRE,Warden Hilltop Community Centre,25 MENDELSSOHN ST,M1L 0G6,Community Recreation Centre,20581,1569,City of Toronto,Clairlea-Birchmount (120),N,N,Scarborough Southwest ,20,416-392-7640,https://www.toronto.ca/data/parks/prd/facilities/complex/1865/index.html,a49bd529-54ca-4114-9da5-967e7e0ff7f5,"{'type': 'MultiPoint', 'coordinates': [[-79.2804886800046, 43.7149029401169]]}"
68,111,Y,WELLESLEY COMMUNITY CENTRE,Wellesley Community Centre,495 SHERBOURNE ST,M4X 1K7,Community Recreation Centre,4176,1095,City of Toronto,North St.James Town (74),N,N,Toronto Centre ,13,416-392-0227,https://www.toronto.ca/data/parks/prd/facilities/complex/451/index.html,d2373552-cfd8-432e-8cfe-d40d32788094,"{'type': 'MultiPoint', 'coordinates': [[-79.3744794000972, 43.6677968499193]]}"
69,112,Y,WEST ACRES SENIOR CENTRE,West Acres Senior Centre,65 HINTON RD,M9W 6Z8,Community Recreation Centre,4461,2108,TCHC (Toronto Community Housing Corporation),Rexdale-Kipling (4),N,N,Etobicoke North,1,416-394-8680,https://www.toronto.ca/data/parks/prd/facilities/complex/396/index.html,f9e173dc-d145-402b-b180-fc6b7dd2e24c,"{'type': 'MultiPoint', 'coordinates': [[-79.5716568300655, 43.7252784700688]]}"
70,116,Y,AMESBURY SPORTS COMPLEX,Amesbury Sports Complex,155 CULFORD RD,M6M 4K6,"Community Recreation Centre,Outdoor Pool Building",13522,1617,City of Toronto,Brookhaven-Amesbury (30),N,N,York-South-Weston,5,416-395-6683,https://www.toronto.ca/data/parks/prd/facilities/complex/480/index.html,a464c994-957c-4d0b-bdc9-7d43514ef507,"{'type': 'MultiPoint', 'coordinates': [[-79.4826225798244, 43.7071746902646]]}"
71,117,Y,DOMENICO DILUCA COMMUNITY RECREATION CENTRE,Domenico Diluca Community Centre,25 STANLEY RD,M3N 1C2,"Community Recreation Centre,Outdoor Pool Building",13562,13020,City of Toronto,Glenfield-Jane Heights (25) ,Y,N,Humber River-Black Creek,7,416-395-6673,https://www.toronto.ca/data/parks/prd/facilities/complex/760/index.html,e847d13d-9f22-4f09-9d81-9216446a091c,"{'type': 'MultiPoint', 'coordinates': [[-79.5158439400161, 43.7424451802391]]}"
72,118,Y,DRIFTWOOD COMMUNITY RECREATION CENTRE,Driftwood Community Recreation Centre,4401 JANE ST,M3N 2K3,"Community Recreation Centre,Outdoor Pool Building",4348,2064,City of Toronto,Glenfield-Jane Heights (25) ,Y,N,Humber River-Black Creek,7,416-395-0226,https://www.toronto.ca/data/parks/prd/facilities/complex/575/index.html,99e35b92-c529-478b-928d-a04fc4858ed0,"{'type': 'MultiPoint', 'coordinates': [[-79.5187789803911, 43.76545582971]]}"
73,119,Y,LAWRENCE HEIGHTS COMMUNITY CENTRE,Lawrence Heights Community Centre,5 REPLIN RD,M6A 2M8,"Community Recreation Centre,Outdoor Pool Building",4438,612,City of Toronto,Englemount-Lawrence (32),N,Y,Eglinton-Lawrence,8,416-395-6118,https://www.toronto.ca/data/parks/prd/facilities/complex/675/index.html,a062d8f8-a536-4b1a-baf4-8935b76e2997,"{'type': 'MultiPoint', 'coordinates': [[-79.4423626804298, 43.7179974998697]]}"
74,120,Y,NORTHWOOD COMMUNITY CENTRE,Northwood Community Centre,15 CLUBHOUSE CRT,M3L 2L7,"Community Recreation Centre,Outdoor Pool Building",4423,771,City of Toronto,Glenfield-Jane Heights (25) ,Y,N,Humber River-Black Creek,7,416-395-7284,https://www.toronto.ca/data/parks/prd/facilities/complex/703/index.html,e65cbc83-dd3e-462c-a456-834bd75764c8,"{'type': 'MultiPoint', 'coordinates': [[-79.4999933303212, 43.7455256600104]]}"
75,121,Y,OAKDALE COMMUNITY CENTRE,Oakdale Community Centre,350 GRANDRAVINE DR,M3J 1B3,"Community Recreation Centre,Outdoor Pool Building",4425,1892,City of Toronto,Glenfield-Jane Heights (25) ,Y,N,Humber River-Black Creek,7,416-395-0484,https://www.toronto.ca/data/parks/prd/facilities/complex/780/index.html,88d468be-8093-4eef-a330-65038d3cabb9,"{'type': 'MultiPoint', 'coordinates': [[-79.5127433697787, 43.7480596203221]]}"
76,122,Y,O'CONNOR COMMUNITY CENTRE,O'Connor Community Centre,1386 VICTORIA PARK AVE,M4A 2L8,"Community Recreation Centre,Outdoor Pool Building",4424,2092,TCHC (Toronto Community Housing Corporation),Victoria Village (43),Y,N,Beaches-East York ,19,416-395-7957,https://www.toronto.ca/data/parks/prd/facilities/complex/1093/index.html,8d859e16-fbcd-4ccf-8e0c-619ee8617ee7,"{'type': 'MultiPoint', 'coordinates': [[-79.3018561995921, 43.7176677001972]]}"
77,123,Y,NORTH TORONTO MEMORIAL COMMUNITY CENTRE,North Toronto Memorial Community Centre,200 EGLINTON AVE W,M4R 1A7,"Community Recreation Centre,Outdoor Pool Building,Washroom Building",4420,1886,City of Toronto,Yonge-Eglinton (100),N,N,Eglinton-Lawrence,8,416-392-6591,https://www.toronto.ca/data/parks/prd/facilities/complex/189/index.html,b8c2f466-bf38-4a1b-94e0-207f0d9797d2,"{'type': 'MultiPoint', 'coordinates': [[-79.4046230099546, 43.706105830084]]}"
78,127,Y,AGINCOURT,Agincourt Public Library,155 BONIS AVE,M1T 3W6,Library,,,None,Tam O'Shanter-Sullivan (118),N,N,Scarborough-Agincourt ,22,416-396-8943,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB02,483169ba-8871-4e45-982d-3d10f069cd13,"{'type': 'MultiPoint', 'coordinates': [[-79.2934139502313, 43.7852190603219]]}"
79,128,Y,ALBERT CAMPBELL,Albert Campbell Public Library,496 BIRCHMOUNT RD,M1K 1N8,Library,,,None,Clairlea-Birchmount (120),N,N,Scarborough Southwest ,20,416-396-8890,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB03,0e01d599-0b20-4b8b-aa4a-6bbd41b38bce,"{'type': 'MultiPoint', 'coordinates': [[-79.26935138957, 43.7080647900201]]}"
80,129,Y,ALBION,Albion Public Library,1515 ALBION RD,M9V 1B2,Library,,,None,Mount Olive-Silverstone-Jamestown (2),Y,N,Etobicoke North,1,416-394-5170,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB04,f9156b19-f327-4c85-95f1-4586559dec68,"{'type': 'MultiPoint', 'coordinates': [[-79.5841715199017, 43.7398614600713]]}"
81,130,Y,ALDERWOOD,Alderwood Public Library,2 ORIANNA DR,M8W 4Y1,Library,,,None,Alderwood (20),N,N,Etobicoke-Lakeshore,3,416-394-5310,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB020,cbc24283-8b3a-42ec-a445-227249c877e2,"{'type': 'MultiPoint', 'coordinates': [[-79.5473557702895, 43.6019052099937]]}"
82,131,Y,AMESBURY PARK,Amesbury Park Public Library,1565 LAWRENCE AVE W,M6L 1A8,Library,,,None,Brookhaven-Amesbury (30),N,N,York South-Weston,5,416-395-5420,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB021,f4f16a73-9694-4aeb-aabe-f990fd985e89,"{'type': 'MultiPoint', 'coordinates': [[-79.4857521503742, 43.7064464802823]]}"
83,132,Y,ANNETTE STREET,Annette Street Public Library,145 ANNETTE ST,M6P 1P3,Library,,,None,Junction Area,N,N,Parkdale-High Park,4,416-393-7692,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB022,46274049-e446-470e-ae1b-733e7631451a,"{'type': 'MultiPoint', 'coordinates': [[-79.4664443500538, 43.6633125501731]]}"
84,133,Y,ARMOUR HEIGHTS,Armour Heights Community Centre,2140 AVENUE RD,M5M 4M7,Library,,,None,Bedford Park-Nortown (39),N,N,Eglinton-Lawrence,8,416-395-5430,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB023,8c2fc68f-029f-481f-b724-a9eec81ab2d2,"{'type': 'MultiPoint', 'coordinates': [[-79.421917830352, 43.7394458297953]]}"
85,134,Y,BARBARA FRUM,Barbara Frum Community Centre,20 COVINGTON RD,M6A 3C1,Library,,,None,Englemount-Lawrence (32),N,Y,Eglinton-Lawrence,8,416-395-5440,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB05,68f0ac68-e37d-4c72-85e4-40c0d7bc71b0,"{'type': 'MultiPoint', 'coordinates': [[-79.4322078100477, 43.7207939299578]]}"
86,135,Y,BAYVIEW,Bayview Public Library,2901 BAYVIEW AVE,M2K 1E6,Library,,,None,Bayview Village (52),N,N,Don Valley North ,17,416-395-5460,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB024,1f145645-39c4-4057-86cf-dccaa84e8c04,"{'type': 'MultiPoint', 'coordinates': [[-79.3860258399061, 43.76920286031]]}"
87,136,Y,BEACHES,Beaches Public Library,2161 QUEEN ST E,M4L 1J1,Library,,,None,The Beaches (63),N,N,Beaches-East York ,19,416-393-7703,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB025,33379044-ac7f-4929-98fb-33b62d9550a6,"{'type': 'MultiPoint', 'coordinates': [[-79.2984973098116, 43.6700914599423]]}"
88,137,Y,BENDALE,Bendale Public Library,1515 DANFORTH RD,M1J 1H5,Library,,,None,Bendale South (157),N,N,Scarborough Centre ,21,416-396-8910,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB026,bace4602-bf71-4e52-8b91-f28616ad7cf6,"{'type': 'MultiPoint', 'coordinates': [[-79.2440272996023, 43.7510824102648]]}"
89,138,Y,BLACK CREEK,Black Creek Public Library,1700 WILSON AVE,M3L 1B2,Library,,,None,Oakdale-Beverley Heights (154),Y,N,Humber River-Black Creek,7,416-395-5470,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB027,d53c08bb-b91d-438d-bd74-4d6ecb49642a,"{'type': 'MultiPoint', 'coordinates': [[-79.5125311904035, 43.7209712998521]]}"
90,139,Y,BLOOR/GLADSTONE,Bloor Gladstone Public Library,1101 BLOOR ST W,M6H 1M7,Library,,,None,Dufferin Grove (83),N,N,Davenport,9,416-393-7674,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB06,a6d7ba71-6eb5-4713-b6b6-0fc52242d4ac,"{'type': 'MultiPoint', 'coordinates': [[-79.434018490267, 43.6599223003195]]}"
91,140,Y,BRENTWOOD,Brentwood Public Library,36 BRENTWOOD RD N,M8X 2B5,Library,,,None,Kingsway South (15),N,N,Etobicoke-Lakeshore,3,416-394-5240,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB07,064b073b-f6d1-4aca-96bd-7febdbb172a9,"{'type': 'MultiPoint', 'coordinates': [[-79.5143110000181, 43.647433359757]]}"
92,141,Y,BRIDLEWOOD,Bridlewood Public Library,2900 WARDEN AVE,M1W 2S8,Library,,,None,L'Amoreaux West (147),N,Y,Scarborough-Agincourt ,22,416-396-8960,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB028,448a3175-4a1d-42e0-9316-71ced7f9dd34,"{'type': 'MultiPoint', 'coordinates': [[-79.3183674501099, 43.7985548100335]]}"
93,142,Y,BROOKBANKS,Brookbanks Public Library,210 BROOKBANKS DR,M3A 2T8,Library,,,None,Fenside-Parkwoods (150),N,N,Don Valley East ,16,416-395-5480,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB029,ba876ef3-5675-4cb3-b3d1-5387ab55bb09,"{'type': 'MultiPoint', 'coordinates': [[-79.3259043800224, 43.7595499197963]]}"
94,143,Y,BURROWS HALL,Burrows Hall Community Centre,1081 PROGRESS AVE,M1B 5Z6,Library,,,None,Malvern East (146),N,Y,Scarborough North ,23,416-396-8740,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB030,8f78cb79-cb72-4d1f-9ddd-4374932f9f83,"{'type': 'MultiPoint', 'coordinates': [[-79.2343702198552, 43.7940559999768]]}"
95,144,Y,CEDARBRAE,Cedarbrae Public Library,545 MARKHAM RD,M1H 2A1,Library,,,None,Golfdale-Cedarbrae-Woburn (141),Y,N,Scarborough-Guildwood ,24,416-396-8850,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB08,5ddc195b-ce09-4464-8cc8-af7582c8ac8e,"{'type': 'MultiPoint', 'coordinates': [[-79.223968429551, 43.7575573502427]]}"
96,145,Y,CENTENNIAL,Centennial Public Library,578 FINCH AVE W,M2R 1N7,Library,,,None,Westminster-Branson (35) ,N,Y,York Centre,6,416-395-5490,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB031,f4b57028-8de3-4956-8901-184d62550131,"{'type': 'MultiPoint', 'coordinates': [[-79.4495934896462, 43.7730467302778]]}"
97,146,Y,CITY HALL,City Hall Public Library,100 QUEEN ST W,M5H 2N1,Library,,,None,Yonge-Bay Corridor (170),N,N,Spadina-Fort York ,10,416-393-7650,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB032,885034dc-0c81-430b-b921-8540887ccbec,"{'type': 'MultiPoint', 'coordinates': [[-79.3836250599699, 43.65282214002]]}"
98,147,Y,CLIFFCREST,Cliffcrest Public Library,3017 KINGSTON RD,M1M 1P1,Library,,,None,Cliffcrest (123),N,N,Scarborough Southwest ,20,416-396-8916,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB033,8179f884-ed9e-4d11-98f9-3b895f30cefd,"{'type': 'MultiPoint', 'coordinates': [[-79.2307801603144, 43.7252731799125]]}"
99,148,Y,COLLEGE/SHAW,College Shaw Public Library,766 COLLEGE ST,M6G 1C4,Library,,,None,Palmerston-Little Italy (80),N,N,University-Rosedale ,11,416-393-7668,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB034,b8b1aad4-f505-486e-a9ab-4c0693cf8406,"{'type': 'MultiPoint', 'coordinates': [[-79.4201598596803, 43.6552104396855]]}"
100,149,Y,DANFORTH/COXWELL,Danforth/Coxwell Public Library,1675 DANFORTH AVE,M4C 5P2,Library,,,None,Woodbine Corridor (64),N,N,Beaches-East York ,19,416-393-7783,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB035,288c1999-1caf-4f94-91f1-89ff1f3df398,"{'type': 'MultiPoint', 'coordinates': [[-79.3213561603315, 43.683644979982]]}"
101,150,Y,DAVENPORT,Davenport Public Library,1246 SHAW ST,M6G 3P1,Library,,,None,Wychwood (94),N,N,Toronto-St. Paul's ,12,416-393-7732,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB036,46d14e0d-f655-4254-b41d-32519de8facc,"{'type': 'MultiPoint', 'coordinates': [[-79.4284212404452, 43.6745786896851]]}"
102,151,Y,DAWES ROAD,Dawes Road Public Library,416 DAWES RD,M4B 2E8,Library,,,None,O'Connor-Parkview (54),N,N,Beaches-East York ,19,416-396-3820,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB037,09eb2777-0948-483b-9534-ec9fda45298c,"{'type': 'MultiPoint', 'coordinates': [[-79.2972330397453, 43.7012108901377]]}"
103,152,Y,DEER PARK,Deer Park Public Library,40 ST CLAIR AVE E,M4T 1M9,Library,,,None,Rosedale-Moore Park (98),N,N,Toronto-St. Paul's ,12,416-393-7657,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB038,4328dcb7-c0db-413b-9fd9-9f1803bd0791,"{'type': 'MultiPoint', 'coordinates': [[-79.3924967498507, 43.6886683499055]]}"
104,153,Y,DON MILLS,Don Mills Library,888 LAWRENCE AVE E,M3C 1P6,Library,,,None,Banbury-Don Mills (42),N,N,Don Valley East ,16,416-395-5710,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB09,423db2ea-2d1f-4481-b7a3-85b17fb83d97,"{'type': 'MultiPoint', 'coordinates': [[-79.3474755396, 43.7366195798188]]}"
105,154,Y,DOWNSVIEW,Downsview Public Library,2793 KEELE ST,M3M 2G3,Library,,,None,Downsview (155),Y,N,York Centre,6,416-395-5720,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB039,dbff90d0-75b0-4744-b87b-905d438cd20d,"{'type': 'MultiPoint', 'coordinates': [[-79.4820629895895, 43.728941599947]]}"
106,155,Y,DUFFERIN/ST. CLAIR,Dufferin St. Clair Public Library,1625 DUFFERIN ST,M6H 3L9,Library,,,None,Corso Italia-Davenport (92),N,N,Davenport,9,416-393-7712,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB040,32234a74-0871-47a8-a293-2772804a99f7,"{'type': 'MultiPoint', 'coordinates': [[-79.4424027003757, 43.6770052899071]]}"
107,156,Y,EATONVILLE,Eatonville Public Library,430 BURNHAMTHORPE RD,M9B 2B1,Library,,,None,Islington (158),N,N,Etobicoke Centre,2,416-394-5270,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB041,928d0110-89fc-48c6-9f29-6b3033fa5fa7,"{'type': 'MultiPoint', 'coordinates': [[-79.5593382604221, 43.646139600098]]}"
108,157,Y,EGLINTON SQUARE,Eglinton Square Public Library,1 EGLINTON SQ,M1L 2K1,Library,,,None,Clairlea-Birchmount (120),N,N,Scarborough Southwest ,20,416-396-8920,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB042,a8baa615-067a-4b06-9a31-6a7681504cd5,"{'type': 'MultiPoint', 'coordinates': [[-79.3008259496405, 43.7230127700417]]}"
109,158,Y,ELMBROOK PARK,Elmbrook Park,2 ELMBROOK CRES,M9C 5B4,Library,,,None,Eringate-Centennial-West Deane (11),N,N,Etobicoke Centre,2,416-394-5290,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB043,e14166c5-9a34-4108-a447-ed16058eeac0,"{'type': 'MultiPoint', 'coordinates': [[-79.5839169499266, 43.6599328102815]]}"
110,159,Y,EVELYN GREGORY,Evelyn Gregory Public Library,120 TROWELL AVE,M6M 1L7,Library,,,None,Keelesdale-Eglinton West (110),Y,N,York South-Weston,5,416-394-1006,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB044,38b38b3b-ec23-4622-b2cc-3f6c7f4301b2,"{'type': 'MultiPoint', 'coordinates': [[-79.4723665995655, 43.6863324503016]]}"
111,160,Y,FAIRVIEW,Fairview Public Library,35 FAIRVIEW MALL DR,M2J 4S4,Library,,,None,Don Valley Village (47),N,N,Don Valley North ,17,416-395-5750,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB010,b1cbef53-1772-4d6c-a7f7-82a01b816740,"{'type': 'MultiPoint', 'coordinates': [[-79.3467821803378, 43.779110240262]]}"
112,161,Y,FLEMINGDON PARK,Dennis R. Timbrell Resource Centre,29 ST DENNIS DR,M3C 3J3,Library,,,None,Flemingdon Park (44),Y,N,Don Valley East ,16,416-395-5820,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB045,c5d15ad3-27c7-45cd-8554-750e59a8d37a,"{'type': 'MultiPoint', 'coordinates': [[-79.3316873601224, 43.7179406800766]]}"
